순번,성별,생년,국적명,체류자격,학교명
465,남,1991,중국,석사과정,부산대학교
466,남,1990,중국,대학부설 어학원 연수,공주대학교
467,여,1991,홍콩,대학부설 어학원 연수,서울대학교
468,여,1991,중국,대학부설 어학원 연수,중부대학교
469,여,1991,중국,교환학생,강남대학교
470,여,1990,중국,학사과정,국립대학법인 인천대학교
471,여,1990,중국,석사과정,국제법률경영대학원대학교
472,남,1990,베트남,석사과정,숭실대학교
473,남,1991,네덜란드,교환학생,(학)연세대학교
474,여,1991,중국,학사과정,이화여자대학교
475,여,1991,중국,학사과정,(학)연세대학교
476,여,1991,한국계중국인,학사과정,한양대학교
477,남,1991,리비아,대학부설 어학원 연수,경성대학교
478,남,1990,중국,학사과정,인하대학교
479,남,1990,중국,학사과정,인하대학교
480,남,1990,중국,대학부설 어학원 연수,두원공과대학
481,남,1990,중국,학사과정,경기대학교
482,남,1990,중국,학사과정,성균관대학교
483,남,1991,스리랑카,대학부설 어학원 연수,계명대학교
484,남,1990,중국,학사과정,순천향대학교(학)
485,남,1990,중국,학사과정,광주과학기술원
486,남,1990,중국,석사과정,부산대학교
487,여,1990,중국,학사과정,중앙대학교
488,여,1990,중국,대학부설 어학원 연수,연세대학교언어연구교육원
489,남,1990,중국,학사과정,청주대학교
490,남,1991,홍콩,교환학생,경희대학교국제캠퍼스
491,여,1991,홍콩,대학부설 어학원 연수,경희대학교
492,여,1991,베트남,학사과정,덕성여자대학교
493,여,1991,중국,석사과정,경기대학교
494,여,1991,중국,교환학생,호서대학교
495,여,1991,말레이시아,대학부설 어학원 연수,서울대학교
496,여,1991,중국,학사과정,한양대학교
497,남,1991,중국,학사과정,대구가톨릭대학교
498,여,1991,몰도바,교환학생,김천대학교
499,여,1991,중국,학사과정,국립부경대학교
500,여,1991,중국,대학부설 어학원 연수,김포대학교
501,남,1991,중국,학사과정,우석대학교
502,남,1991,가나,학사과정,울산과학기술대학교
503,남,1991,베트남,석사과정,울산대학교
504,여,1991,중국,교환학생,대진대학교
505,여,1991,베트남,학사과정,숙명여자대학교
506,여,1991,중국,석사과정,아주대학교
507,남,1991,캄보디아,석사과정,아주대학교
508,남,1990,중국,학사과정,(학)연세대학교
509,남,1990,중국,학사과정,숭실대학교
510,남,1990,중국,대학부설 어학원 연수,총신대학교
511,남,1991,중국,대학부설 어학원 연수,중앙신학대학원대학교
